analysis,scenario,delta_implicit_minus_explicit
synthetic_full_trajectory,ai_sweetheart,-0.19753086419753088
synthetic_full_trajectory,conduit,-0.3333333333333333
synthetic_full_trajectory,digital_romance,-0.04938271604938271
synthetic_full_trajectory,medical_awakening,-0.13580246913580246
synthetic_full_trajectory,messianic_union,-0.54320987654321
synthetic_full_trajectory,secret_project,-0.6172839506172839
synthetic_full_trajectory,turing_test,-0.037037037037037035
synthetic_full_trajectory,unseen_connections,-0.3950617283950617
synthetic_matched_local,ai_sweetheart,-0.14814814814814814
synthetic_matched_local,conduit,-0.19135802469135801
synthetic_matched_local,digital_romance,-0.08641975308641976
synthetic_matched_local,medical_awakening,0.08024691358024692
synthetic_matched_local,messianic_union,-0.19753086419753085
synthetic_matched_local,secret_project,-0.06790123456790123
synthetic_matched_local,turing_test,-0.04938271604938271
synthetic_matched_local,unseen_connections,-0.10493827160493825
