theme,rows,clusters,outside_rows,outside_share,in_ontology_rows,in_ontology_share
persecutory,148,98,102,0.6891891891891891,15,0.10135135135135136
grandiose,140,97,41,0.29285714285714287,48,0.34285714285714286
bizarre,83,78,58,0.6987951807228916,5,0.060240963855421686
religious_or_spiritual,49,45,15,0.30612244897959184,21,0.42857142857142855
mixed,46,28,20,0.43478260869565216,5,0.10869565217391304
referential,13,9,6,0.46153846153846156,3,0.23076923076923078
thought_broadcasting,13,12,10,0.7692307692307693,0,0.0
unclear_or_no_delusional_theme,11,11,9,0.8181818181818182,0,0.0
somatic,10,10,9,0.9,0,0.0
thought_insertion,5,4,2,0.4,1,0.2
nihilistic,3,3,2,0.6666666666666666,0,0.0
delusional_jealousy,1,1,0,0.0,0,0.0
