input_id,cluster_id,source,theme,paper_theme_consensus,is_paper_theme_consensus,is_outside_ontology_consensus
aa5ef8bc34cd6d04fe906cd4,sharechat_grok:https://grok.com/share/bGVnYWN5_2a81848e-c9c8-4557-98f0-f203909d9eb5,sharechat_grok,grandiose,spiritual-messianic,True,False
ed81187b0801ce02050cd3dc,sharechat_chatgpt:32540915bd47cc47a22d798be9785c76,sharechat_chatgpt,religious_or_spiritual,outside-ontology,False,True
329c30c72e533b7ca64bbbb8,sharechat_chatgpt:https://chatgpt.com/share/6810ecbe-d724-8001-b0cc-95dc3709d1f2,sharechat_chatgpt,religious_or_spiritual,outside-ontology,False,True
c7b89b5c536d13085753bae8,sharechat_chatgpt:https://chatgpt.com/share/67a9d106-26a4-800f-aeb6-3911a36b657a,sharechat_chatgpt,grandiose,sentient-ai,True,False
07941357e8dc105d328d719b,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,sharechat_chatgpt,grandiose,spiritual-messianic,True,False
c3208101a94a5d860bd78dbc,sharechat_chatgpt:0e8515ed89ae4ea69c1884d82d67c0a0,sharechat_chatgpt,persecutory,outside-ontology,False,True
0eba24238a21178db53f7a63,wildchat_full:7e2e1ad7d06ef4a0e6155a9a13ab6444,wildchat_full,persecutory,outside-ontology,False,True
62100e4bccc84a00c98964dd,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,sharechat_chatgpt,grandiose,,False,False
3393e2cda055b62bf722432f,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,outside-ontology,False,True
52d11e9f94e5ad8a1e3d446b,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,mixed,,False,False
04f7088e2eea59f0984a02a9,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,sharechat_chatgpt,mixed,,False,False
69fc680a473aaebce34925d5,sharechat_chatgpt:https://chatgpt.com/share/6733cf69-95dc-8003-8225-01feebb761fc,sharechat_chatgpt,bizarre,outside-ontology,False,True
b9619d0d6ec6f1e21b1a30d5,sharechat_chatgpt:https://chatgpt.com/share/67af68b7-f378-8013-b1fd-7101dab8b9f0,sharechat_chatgpt,grandiose,,False,False
a5fb71255ca03b1f9047b197,sharechat_chatgpt:2f90381e9939a30f0da983c0b927f1f7,sharechat_chatgpt,persecutory,,False,False
50f82819464df0d970a5041c,sharechat_chatgpt:https://chatgpt.com/share/67d9d3a0-bcfc-8001-9ac2-d1d7cb09a4f6,sharechat_chatgpt,unclear_or_no_delusional_theme,sentient-ai,False,False
bc15122b6174e948b9079c9f,wildchat_full:5052e7b6745d3676943b01cb24d01841,wildchat_full,bizarre,,False,False
575c538bf5df9561dd478804,wildchat_full:fd2cc251909f3c5066323bb7db86c19f,wildchat_full,grandiose,,False,False
15ec3e5522a438a3bf88f49a,sharechat_chatgpt:https://chatgpt.com/share/679bc85c-d78c-8009-b7f8-212c6120bf7e,sharechat_chatgpt,grandiose,,False,False
cbe7f6e8c9d96c47c6e6ea07,sharechat_chatgpt:https://chatgpt.com/share/67219e2e-6d80-8005-ae20-b41d4e97ead9,sharechat_chatgpt,mixed,,False,False
e3e6e05bdd58ea13cbfef236,sharechat_chatgpt:https://chatgpt.com/share/6785c1b8-76d4-800b-95a9-da4f5e70ed6b,sharechat_chatgpt,persecutory,sentient-ai,True,False
ad477dd521a4d53ce04409ed,sharechat_chatgpt:https://chatgpt.com/share/673e0ba9-32c0-8007-838e-db9741197ca0,sharechat_chatgpt,grandiose,,False,False
9aea1c3a79d37440c2a66770,sharechat_chatgpt:https://chatgpt.com/share/67fdde36-4670-8010-b37e-ea54053eb903,sharechat_chatgpt,religious_or_spiritual,spiritual-messianic,True,False
d6f4878f130ed328613df2e0,wildchat_full:62eb1e592dfce1c7558da9b108871fb2,wildchat_full,persecutory,outside-ontology,False,True
851149a3d146b438692939b5,sharechat_chatgpt:https://chatgpt.com/share/67f8b634-c2cc-8012-98f8-085093a23c04,sharechat_chatgpt,persecutory,outside-ontology,False,True
b7fc463a05255cfa096f9851,sharechat_chatgpt:https://chatgpt.com/share/67af68b7-f378-8013-b1fd-7101dab8b9f0,sharechat_chatgpt,mixed,,False,False
9d6db25514874d0c287aa609,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,outside-ontology,False,True
60089e665838c36c023c2290,sharechat_chatgpt:https://chatgpt.com/share/67c26c63-9534-8007-bd15-ff544765e829,sharechat_chatgpt,religious_or_spiritual,spiritual-messianic,True,False
da6310d5784acc45b7857fcf,sharechat_chatgpt:81c3fbc07a61f2f1bf4d11b0a3faf3aa,sharechat_chatgpt,bizarre,outside-ontology,False,True
9b4d47b90e7e0e578b874e42,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,sharechat_chatgpt,grandiose,spiritual-messianic,True,False
7e222baf7588c8f91d67dc80,sharechat_chatgpt:https://chatgpt.com/share/33e03673-081f-4d75-a8ab-a76dfdfbcb4a,sharechat_chatgpt,bizarre,outside-ontology,False,True
c37f9022491784b84ae6a287,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,,False,False
8f1b1c1e455297f589fcb94a,sharechat_chatgpt:https://chatgpt.com/share/6743792a-4ac0-8008-a184-505cb1622ff6,sharechat_chatgpt,grandiose,spiritual-messianic,True,False
cc0048ea9655317677460193,sharechat_chatgpt:https://chatgpt.com/share/672607d6-af60-8005-89d9-27956fc3cc61,sharechat_chatgpt,grandiose,sentient-ai,True,False
5bac0f926f4efc5338a4c3c2,sharechat_chatgpt:https://chatgpt.com/share/67fbec22-9990-8011-9f09-faae5d315897,sharechat_chatgpt,grandiose,outside-ontology,False,True
57abc99effa23a7b6c243bb3,sharechat_chatgpt:https://chatgpt.com/share/67f9fda4-54b0-8001-97d5-50fe7091e136,sharechat_chatgpt,grandiose,spiritual-messianic,True,False
193c9509c7c892a68bfb1aeb,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,outside-ontology,False,True
39cab9ce46344e5b190cf58c,sharechat_chatgpt:https://chatgpt.com/share/682d1caf-0204-8004-a1ef-267720579ad6,sharechat_chatgpt,mixed,outside-ontology,False,True
7a189f39f0a5c43923e56bc5,sharechat_chatgpt:https://chatgpt.com/share/67ce7d2a-f814-8000-a7d7-ea36941525cd,sharechat_chatgpt,mixed,outside-ontology,False,True
b851bb9c745c0f647ba3fc6e,sharechat_chatgpt:https://chatgpt.com/share/680756d4-40b8-8013-b3b9-7fa283ef4a88,sharechat_chatgpt,persecutory,outside-ontology,False,True
d7a2f368f8822c1abe372046,sharechat_chatgpt:https://chatgpt.com/share/6746dcfc-93c8-8009-94e5-a08ad4ca9470,sharechat_chatgpt,grandiose,outside-ontology,False,True
2f14cef1655c7fcc6a47b2e3,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,,False,False
df2afe5102eb7f452d64a228,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,sharechat_chatgpt,grandiose,,False,False
311a4b3b96a84f2c2fc80ca6,sharechat_chatgpt:https://chatgpt.com/share/680756d4-40b8-8013-b3b9-7fa283ef4a88,sharechat_chatgpt,mixed,outside-ontology,False,True
2baaab9b6c1b8240731cf948,sharechat_grok:https://grok.com/share/bGVnYWN5_a900e9b9-19f3-43d4-8239-5bc6365d77de,sharechat_grok,bizarre,outside-ontology,False,True
18da8fcfc33ac31a4d1a2092,wildchat_full:961ce1ae4b76537a0a197cb0df5e20ab,wildchat_full,unclear_or_no_delusional_theme,outside-ontology,False,True
3a6cb311db9fa41416966012,sharechat_chatgpt:https://chatgpt.com/share/66e818f9-5194-8012-84ff-8be4f9868293,sharechat_chatgpt,bizarre,outside-ontology,False,True
cf911c47dece95c85f450fd6,sharechat_chatgpt:a63f0fd62d0709cc10905d0d76f0400c,sharechat_chatgpt,persecutory,outside-ontology,False,True
fc44b4174c7992701858e7a1,sharechat_chatgpt:https://chatgpt.com/share/68059303-8f38-8013-85e6-30205cd9c72e,sharechat_chatgpt,persecutory,outside-ontology,False,True
17318e845077562a45006d20,sharechat_chatgpt:https://chatgpt.com/share/6807599e-1344-8010-82da-fa748c1b3627,sharechat_chatgpt,grandiose,outside-ontology,False,True
11535a1e4180d9e6684418dc,sharechat_chatgpt:7c7968b5382ad57ae0c24d21fb77c95b,sharechat_chatgpt,bizarre,outside-ontology,False,True
dd391a9e0cca3337b2828bf9,sharechat_chatgpt:https://chatgpt.com/share/33e03673-081f-4d75-a8ab-a76dfdfbcb4a,sharechat_chatgpt,thought_broadcasting,outside-ontology,False,True
76b304d5c8e5df916e9b279a,sharechat_chatgpt:https://chatgpt.com/share/67bc2eeb-2c50-8011-8e9d-6f63fef43aab,sharechat_chatgpt,bizarre,sentient-ai,True,False
879e198476cd87565d3c2987,sharechat_chatgpt:https://chatgpt.com/share/6810bbb5-28e8-800d-a92a-87e72819a8e2,sharechat_chatgpt,mixed,outside-ontology,False,True
5747f855c66c0057cb2c875f,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,referential,,False,False
d3f02474e12c05b18c02ee6a,sharechat_chatgpt:https://chatgpt.com/share/67fc777a-f8a4-8013-8d5c-8f1f755e67fe,sharechat_chatgpt,bizarre,outside-ontology,False,True
37afadb78ed6a2f2e1247209,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,sharechat_chatgpt,persecutory,outside-ontology,False,True
009b0c189febde9293f19589,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,sharechat_chatgpt,religious_or_spiritual,spiritual-messianic,True,False
3151fa22747ca7a9f59a2322,sharechat_chatgpt:https://chatgpt.com/share/680756d4-40b8-8013-b3b9-7fa283ef4a88,sharechat_chatgpt,mixed,,False,False
b2a7ceb37218559cb4caec40,sharechat_chatgpt:https://chatgpt.com/share/6746dcfc-93c8-8009-94e5-a08ad4ca9470,sharechat_chatgpt,grandiose,,False,False
55c15e1b3281e2edf91274fc,wildchat_full:1632622aca08857b4b8d3e81f8caa04b,wildchat_full,unclear_or_no_delusional_theme,outside-ontology,False,True
bd9abf53179e30a1e81b09b5,sharechat_gemini:d357c64f5a19b7839bf1ddf3f12d1117,sharechat_gemini,bizarre,,False,False
6789deea8a154023322ba188,sharechat_chatgpt:https://chatgpt.com/share/67fbec22-9990-8011-9f09-faae5d315897,sharechat_chatgpt,persecutory,,False,False
f7893997a6270dbe2b27d0d2,sharechat_chatgpt:https://chatgpt.com/share/6876a07b-2508-8003-8843-cca611b13efe,sharechat_chatgpt,persecutory,,False,False
9798083809f6661261c8ec9b,sharechat_chatgpt:https://chatgpt.com/share/b3c3a22c-36b9-4b31-9756-e2f57f7ae921,sharechat_chatgpt,grandiose,outside-ontology,False,True
b93057fc452bd3dbc32b9076,sharechat_chatgpt:219da9de1729a3857eb3ac7c2bcb47cd,sharechat_chatgpt,somatic,outside-ontology,False,True
d7ed55b4002b9e9c73675280,sharechat_chatgpt:https://chatgpt.com/share/67827e82-66a4-8003-ad1e-f1710594ddff,sharechat_chatgpt,bizarre,outside-ontology,False,True
