pair_id,cluster_id,possible_visible_mod_harm,base_target_screen,visible_rubric_a,visible_rubric_b,visible_lexical
0006b2b9ecbbed4de891d929791e78130d08406389d67e70e8b792768c9a1725,sharechat_grok:https://grok.com/share/bGVnYWN5_2a81848e-c9c8-4557-98f0-f203909d9eb5,False,False,False,False,False
005e6326260ad3026a8a4ea9a0d49aeb155763fd40acba180fba252be09af440,sharechat_chatgpt:32540915bd47cc47a22d798be9785c76,False,False,False,False,False
00d6010a327af234a6dab001fa630e2468febb5b099f7099e8d85702156e214b,sharechat_chatgpt:https://chatgpt.com/share/6810ecbe-d724-8001-b0cc-95dc3709d1f2,False,False,False,False,False
00fc7bcacc9aaefb1cdc08aeb1cc043e4361a7519c87364b2eb0f031ec814042,sharechat_chatgpt:https://chatgpt.com/share/67a9d106-26a4-800f-aeb6-3911a36b657a,False,False,False,False,False
02323e750c55a17c685f55b9efa6372265ef2922974aba7df0757212d8667519,sharechat_chatgpt:https://chatgpt.com/share/6873c7a6-8c68-8005-a1fd-d2feec461646,True,True,False,False,False
03a26442fb4305f38efe2042f8518ab0c005901fbf308f273d6efcc4ac8d813e,sharechat_chatgpt:0e8515ed89ae4ea69c1884d82d67c0a0,False,False,False,False,False
046cbbe5cd249e2b13a1a531e95fef98fa96014a8cd992e069aab99dd258686c,wildchat_full:7e2e1ad7d06ef4a0e6155a9a13ab6444,True,False,True,False,False
049b2a683d652ea234a5100956b9f4f49c5a7e03adfd2940ae1c272a58a555c4,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,False,False,False,False,False
05c640960642fa9b6b683339b99bac995f232c8bf13fed68592025949ab9e1e6,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,False,False,False,False,False
05fcbb627d69c7873b3ebf5436bf6e15a247ea98e7a799a00e810d5c4751adda,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,False,False,False,False,False
062eac3bd06fcedd22aa965fc3c661d3366469b699f04369285eaf78396daef9,sharechat_chatgpt:https://chatgpt.com/share/67f81856-4c90-8001-9071-f172d5cc745e,False,False,False,False,False
0635a399cd02d87b6d163f7d35c77cc78b84a7759f7d4c2cd2a44e31a11a69ba,sharechat_chatgpt:https://chatgpt.com/share/6733cf69-95dc-8003-8225-01feebb761fc,False,False,False,False,False
06528f327372a0de727f09f9331b0c37666370e7747cfe0256f9904c4fda25a0,sharechat_chatgpt:https://chatgpt.com/share/67af68b7-f378-8013-b1fd-7101dab8b9f0,False,False,False,False,False
07ab1c11d0cb235ca823041f26b48cb2b18168c82fe894e243bda9d64c557238,sharechat_chatgpt:2f90381e9939a30f0da983c0b927f1f7,False,False,False,False,False
083d8beb478d976f0f211bca132d0727442161d6ceb4cf596a517ce83d511c94,sharechat_chatgpt:https://chatgpt.com/share/67d9d3a0-bcfc-8001-9ac2-d1d7cb09a4f6,True,False,True,False,False
0921c019bc3de515ed6ac751efb480ddb0907b1e37a649430c519065e1ec5c92,wildchat_full:5052e7b6745d3676943b01cb24d01841,False,False,False,False,False
093890fdbb895654584634514de6143ebc91566748255ad2ba93bc0aeee4948a,wildchat_full:fd2cc251909f3c5066323bb7db86c19f,False,False,False,False,False
0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,sharechat_chatgpt:https://chatgpt.com/share/679bc85c-d78c-8009-b7f8-212c6120bf7e,False,False,False,False,False
0956a35d9bac6d99aa2b55a8e2a856cd21388670b5ba5e28a41d77da84db648f,sharechat_chatgpt:https://chatgpt.com/share/67219e2e-6d80-8005-ae20-b41d4e97ead9,False,False,False,False,False
0a24e269e56bec514ca4a0c45520e7a68d46305e078d169eea86a785a06fd2a6,sharechat_chatgpt:https://chatgpt.com/share/6785c1b8-76d4-800b-95a9-da4f5e70ed6b,False,False,False,False,False
0a4ad4f76e37713e3755de0e147842441021cb9649be055954bdd5de44468db5,sharechat_chatgpt:https://chatgpt.com/share/673e0ba9-32c0-8007-838e-db9741197ca0,False,False,False,False,False
0ac5467dfbbd168069f256b41402245a39966a2d4b76c05f0b5565c3f7fcf47f,sharechat_chatgpt:https://chatgpt.com/share/67fdde36-4670-8010-b37e-ea54053eb903,True,True,True,False,False
0ae629a97bfd624dd3cc8cf7fd3c2625fca742f9d3c94e59a990c24358af1ad0,wildchat_full:62eb1e592dfce1c7558da9b108871fb2,False,False,False,False,False
0b478848e5ed547279c61d0dffd4627f33ee090f02055993ec457f8f795a4dd0,sharechat_chatgpt:https://chatgpt.com/share/67f8b634-c2cc-8012-98f8-085093a23c04,True,False,False,True,False
0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,sharechat_chatgpt:https://chatgpt.com/share/67af68b7-f378-8013-b1fd-7101dab8b9f0,True,False,True,True,False
0b582c27cb7b661e8836e55ee450c520875c0ef361760e53a838b3c03dcc1701,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,False,False,False,False,False
0b7724d285ce5ad3be4ca918aa5e3418e9fef8ecbca23f02297a0874f29d228e,sharechat_chatgpt:https://chatgpt.com/share/67c26c63-9534-8007-bd15-ff544765e829,False,False,False,False,False
0c0695062124ce0b19cad60a56227b6197a8c190d126ccfa096287d56e9e8e49,sharechat_chatgpt:81c3fbc07a61f2f1bf4d11b0a3faf3aa,False,False,False,False,False
0c1b48022a9411ae73252351bc6b1b7c948786a1b8b65a3d33c9e10f8bf37bb9,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,False,False,False,False,False
0c32589479c8b0419d79239d1460ef57147b881033f75a74e80564751db6f693,sharechat_chatgpt:https://chatgpt.com/share/33e03673-081f-4d75-a8ab-a76dfdfbcb4a,False,False,False,False,False
0cd149709cb496a66131feaefbbbd8f2f08df463dc635ae91ee5583609945a8b,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,False,False,False,False,False
0d00618041859eb95fb35eb5b0761483aef213f131ff0e0ba039e228905a0264,sharechat_chatgpt:https://chatgpt.com/share/6743792a-4ac0-8008-a184-505cb1622ff6,True,False,True,False,False
0da9ddc7409cd6488b50f76228f7abe1a52a6da839fa46b6e8fd11210c76ada2,sharechat_chatgpt:https://chatgpt.com/share/672607d6-af60-8005-89d9-27956fc3cc61,False,False,False,False,False
0dbbeff8519ab25746d206a9d65fe50e0064e1e34c8d72c42b8bf9cb698bee9c,sharechat_chatgpt:https://chatgpt.com/share/67fbec22-9990-8011-9f09-faae5d315897,False,False,False,False,False
0f45d93607abe5a3be71ccd090351364ff7c0c6095c1d8d392bfb90b09276f95,sharechat_chatgpt:https://chatgpt.com/share/67f9fda4-54b0-8001-97d5-50fe7091e136,False,False,False,False,False
0f907743e056b630586f7e91f1c6a01665f7ff91e9b1a193c7cd745b37fbc08f,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,False,False,False,False,False
0f92d1ca34964b020f52457971a8b0bce61588c4c303b5d54c70d08f25e50bf4,sharechat_chatgpt:https://chatgpt.com/share/682d1caf-0204-8004-a1ef-267720579ad6,False,False,False,False,False
0ff523bddc0d28db2f16842d4fd5bfa1138d6a293dc9f5bd1cf96f8e2889405a,sharechat_chatgpt:https://chatgpt.com/share/67ce7d2a-f814-8000-a7d7-ea36941525cd,True,False,False,False,True
106460a7cab2daf5cb6f0b466e035e713468cb93789d8268867d31bd5257b551,sharechat_chatgpt:https://chatgpt.com/share/680756d4-40b8-8013-b3b9-7fa283ef4a88,True,True,True,True,True
106b3ce9877b3e92eca105b0c2e52342abd187aa1e78f549656be3b889e69239,sharechat_chatgpt:https://chatgpt.com/share/6746dcfc-93c8-8009-94e5-a08ad4ca9470,False,False,False,False,False
1081ae33496b12003ddda0cb0cd0576c36f496df35b329aceb00707e2e2423b5,sharechat_chatgpt:https://chatgpt.com/share/688d1508-8d04-8007-87c1-8257621e5e9c,True,True,False,False,True
10fbc7f4d0001ec7fc06e4f17daff2f6c4696711af1d4f8a2f74c547435027d1,sharechat_chatgpt:https://chatgpt.com/share/67e38ec2-2230-8011-a3a8-8afed3a69bdb,False,False,False,False,False
11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,sharechat_chatgpt:https://chatgpt.com/share/680756d4-40b8-8013-b3b9-7fa283ef4a88,False,False,False,False,False
11cb9b78f306ee3767e14b7f39ac189239bb3cb7491d57f4f8f0b0966dcebf12,sharechat_grok:https://grok.com/share/bGVnYWN5_a900e9b9-19f3-43d4-8239-5bc6365d77de,False,False,False,False,False
12232bd55d9c9fb39b01971df1554ef2895f83ab2359347ba2f0d16f375bf40f,wildchat_full:961ce1ae4b76537a0a197cb0df5e20ab,False,False,False,False,False
12bb927405cfaa6c35070697647f9297151702e390c61eea585e6ca4cae270fc,sharechat_chatgpt:https://chatgpt.com/share/66e818f9-5194-8012-84ff-8be4f9868293,False,False,False,False,False
14621ac13ce3d22c5ffd984c901b062e759d227b540300710da770254562a4a0,sharechat_chatgpt:a63f0fd62d0709cc10905d0d76f0400c,False,False,False,False,False
14e81fd927135731cfa0cf5058129fb54457fce182c55707169ae722f99c58ff,sharechat_chatgpt:https://chatgpt.com/share/68059303-8f38-8013-85e6-30205cd9c72e,False,False,False,False,False
