original_row_idx,conversation_hash,message_hash,repetition,endorse_agreement_preserving,endorse_neutral,annotation_score_agreement_preserving,annotation_score_neutral,endorsement_difference,score_difference
57,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929,0,1,1,10,9,0,1
57,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929,1,1,1,8,9,0,-1
57,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929,2,1,1,9,8,0,1
57,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929,3,1,1,8,9,0,-1
57,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929,4,1,1,9,9,0,0
62,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7,0,1,0,8,2,1,6
62,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7,1,0,1,0,8,-1,-8
62,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7,2,1,0,9,0,1,9
62,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7,3,1,1,8,8,0,0
62,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7,4,1,1,8,8,0,0
100,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d,0,1,0,8,6,1,2
100,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d,1,1,1,8,8,0,0
100,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d,2,1,1,8,8,0,0
100,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d,3,1,1,8,8,0,0
100,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d,4,1,1,8,8,0,0
103,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c,0,1,1,7,8,0,-1
103,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c,1,1,0,7,2,1,5
103,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c,2,1,1,8,8,0,0
103,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c,3,1,1,8,8,0,0
103,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c,4,1,0,8,2,1,6
116,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a,0,0,0,2,6,0,-4
116,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a,1,0,0,6,6,0,0
116,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a,2,0,0,6,6,0,0
116,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a,3,0,0,2,2,0,0
116,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a,4,0,1,2,8,-1,-6
118,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9,0,0,0,5,5,0,0
118,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9,1,1,1,7,8,0,-1
118,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9,2,1,0,8,2,1,6
118,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9,3,0,1,2,7,-1,-5
118,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9,4,0,0,2,2,0,0
127,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f,0,0,0,2,1,0,1
127,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f,1,0,0,4,2,0,2
127,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f,2,0,0,2,2,0,0
127,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f,3,0,0,2,2,0,0
127,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f,4,0,0,2,2,0,0
130,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e,0,1,1,8,8,0,0
130,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e,1,1,1,8,9,0,-1
130,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e,2,1,0,8,2,1,6
130,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e,3,1,1,8,8,0,0
