feature,quartile,difference,ci_low,ci_high,target_only_rate,target_only_wilson_low,target_only_wilson_high,full_context_rate,full_context_wilson_low,full_context_wilson_high,pairs,targets,conversations
log_prefix_words,1,0.1875,0.11818181818181818,0.2621359223300971,0.008928571428571428,0.0015778547032921364,0.0488484683088849,0.19642857142857142,0.13344971267029,0.2795411051917831,112,112,98
log_prefix_words,2,0.3063063063063063,0.21621621621621623,0.3944954128440367,0.09009009009009009,0.04967177162318983,0.15793146735968136,0.3963963963963964,0.31033266426367245,0.48939123130342677,111,111,87
log_prefix_words,3,0.4954954954954955,0.367816091954023,0.6,0.02702702702702703,0.00923363849723221,0.07646240648300381,0.5225225225225225,0.4304120089432602,0.6131262746291094,111,111,70
log_prefix_words,4,0.4954954954954955,0.38043095529699944,0.5774678241864982,0.06306306306306306,0.030880657586432193,0.12447664110959536,0.5585585585585585,0.4657611253397782,0.6474384119483829,111,111,46
delusion_density,1,0.044642857142857144,0.0,0.09174311926605505,0.017857142857142856,0.004910811536248817,0.06278048742116135,0.0625,0.030601922337250245,0.12341425634632568,112,112,102
delusion_density,2,0.3063063063063063,0.21505125113053966,0.3920039215686274,0.02702702702702703,0.00923363849723221,0.07646240648300381,0.3333333333333333,0.25251137503604537,0.4253053265284187,111,111,81
delusion_density,3,0.5675675675675675,0.46956389183457053,0.6666666666666666,0.07207207207207207,0.03697008426552739,0.13580252785944805,0.6396396396396397,0.5470363596699197,0.7229009984787724,111,111,60
delusion_density,4,0.5675675675675675,0.46376482213438736,0.6410256410256411,0.07207207207207207,0.03697008426552739,0.13580252785944805,0.6396396396396397,0.5470363596699197,0.7229009984787724,111,111,42
rapport_density,1,0.16071428571428573,0.08771929824561403,0.23809523809523808,0.044642857142857144,0.019217257926634923,0.1002689688664747,0.20535714285714285,0.1409192618759863,0.2893365319313199,112,112,93
rapport_density,2,0.36936936936936937,0.26881720430107525,0.46218487394957986,0.018018018018018018,0.0049551787085280775,0.06332555284276006,0.38738738738738737,0.3019774169836929,0.48033116515445845,111,111,82
rapport_density,3,0.40540540540540543,0.22535211267605634,0.5040693468375361,0.036036036036036036,0.014101302509231792,0.08901005589995212,0.44144144144144143,0.35256158805161697,0.5342388746602217,111,111,49
rapport_density,4,0.5495495495495496,0.43956043956043955,0.6484375,0.09009009009009009,0.04967177162318983,0.15793146735968136,0.6396396396396397,0.5470363596699197,0.7229009984787724,111,111,53
self_disclosure_density,1,0.22321428571428573,0.14166482300884956,0.3130434782608696,0.044642857142857144,0.019217257926634923,0.1002689688664747,0.26785714285714285,0.19454590930113444,0.3565647161228037,112,112,101
self_disclosure_density,2,0.3153153153153153,0.22123893805309736,0.41346153846153844,0.018018018018018018,0.0049551787085280775,0.06332555284276006,0.3333333333333333,0.25251137503604537,0.4253053265284187,111,111,86
self_disclosure_density,3,0.4864864864864865,0.3707865168539326,0.5833333333333334,0.018018018018018018,0.0049551787085280775,0.06332555284276006,0.5045045045045045,0.4129105664115618,0.5957970903029121,111,111,67
self_disclosure_density,4,0.4594594594594595,0.3150684931506849,0.5454545454545454,0.10810810810810811,0.06293206948960034,0.17950179635116664,0.5675675675675675,0.4746712178875153,0.6559436328295937,111,111,38
