feature,quartile,difference,ci_low,ci_high,target_only_rate,target_only_wilson_low,target_only_wilson_high,full_context_rate,full_context_wilson_low,full_context_wilson_high,pairs,targets,conversations
log_prefix_words,1,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.03316134706694389,0.0,3.469446951953614e-18,0.03316134706694389,112,112,98
log_prefix_words,2,0.009009009009009009,0.0,0.028846153846153848,0.0,0.0,0.033450104693392366,0.009009009009009009,0.0015920854870672164,0.04927333263527303,111,111,87
log_prefix_words,3,0.009009009009009009,0.0,0.03,0.0,0.0,0.033450104693392366,0.009009009009009009,0.0015920854870672164,0.04927333263527303,111,111,70
log_prefix_words,4,0.036036036036036036,0.0,0.08536585365853659,0.0,0.0,0.033450104693392366,0.036036036036036036,0.014101302509231792,0.08901005589995212,111,111,46
delusion_density,1,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.03316134706694389,0.0,3.469446951953614e-18,0.03316134706694389,112,112,102
delusion_density,2,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,81
delusion_density,3,0.036036036036036036,0.0,0.06896551724137931,0.0,0.0,0.033450104693392366,0.036036036036036036,0.014101302509231792,0.08901005589995212,111,111,60
delusion_density,4,0.018018018018018018,0.0,0.06896551724137931,0.0,0.0,0.033450104693392366,0.018018018018018018,0.0049551787085280775,0.06332555284276006,111,111,42
rapport_density,1,0.017857142857142856,0.0,0.05357142857142857,0.0,3.469446951953614e-18,0.03316134706694389,0.017857142857142856,0.004910811536248817,0.06278048742116135,112,112,93
rapport_density,2,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,82
rapport_density,3,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,49
rapport_density,4,0.036036036036036036,0.0,0.072,0.0,0.0,0.033450104693392366,0.036036036036036036,0.014101302509231792,0.08901005589995212,111,111,53
self_disclosure_density,1,0.017857142857142856,0.0,0.05309734513274336,0.0,3.469446951953614e-18,0.03316134706694389,0.017857142857142856,0.004910811536248817,0.06278048742116135,112,112,101
self_disclosure_density,2,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,86
self_disclosure_density,3,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,67
self_disclosure_density,4,0.036036036036036036,0.0,0.08045977011494253,0.0,0.0,0.033450104693392366,0.036036036036036036,0.014101302509231792,0.08901005589995212,111,111,38
