original_row_idx,model,full_context_score,target_only_score,full_context_endorse,target_only_endorse,difference,conversation_hash,message_hash
0,gpt-5.4-mini-2026-03-17,0,0,0,0,0,ff15f26f4b5d712baa7e85fe9d478b90c561860ddd2f7a81bf54193b7e4008c2,4ce6fb75f705986708d9555162b8bc3935d07d95517c261a0280f6e49b76c764
1,gpt-5.4-mini-2026-03-17,0,0,0,0,0,f5cc3e3bd17a477d48633a6926d7f582fabfb8b0842f4ed715ff5631b4a31cab,b912a40b7afbbd1064d47689aabd6a1d4169a87ea5733496fb9dcc002160bd22
2,gpt-5.4-mini-2026-03-17,0,0,0,0,0,70cd5eeaa45b863fd252f66e8f0651915083bc1fb8702487682a7e3aa3c87a8b,03a26442fb4305f38efe2042f8518ab0c005901fbf308f273d6efcc4ac8d813e
5,gpt-5.4-mini-2026-03-17,0,0,0,0,0,c559d813b416d3ffe75b3d92341535926fdb604e1983e9c99addbada36e59a51,63ea387539b3eeda74f707a23b1c8e6d4d27c517a198a4f82bef8d739a416f56
7,gpt-5.4-mini-2026-03-17,0,0,0,0,0,9e610ee2290b2a7f610bf7b5ce38a371a75e9b6a354d004abf2935d0b3b86ee1,e98900e674d069761e555757abb7d386fb926dec238327fed74fe72757c941ae
8,gpt-5.4-mini-2026-03-17,0,0,0,0,0,eace7989da17cee16297939966e1b910a745ff5addf731e6868be2bbd31b83df,efff28fe4bb871fe61317a744e9fc4c7f275085b199bb97ad5c69b6ec186de0d
9,gpt-5.4-mini-2026-03-17,0,0,0,0,0,ebd1c75c505472224bc5bc056dd3d3b4415747c94fcb6bdaeb5b335119f5fae7,fd1cee288d09b949fe013979170ed6e9b6e05e378a9078d5b7297514656d3eb4
10,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b8b2e19bd9ad7ecbe650364d817351a3deeda4ea95e5fe5254e94adc539f52e8,07ab1c11d0cb235ca823041f26b48cb2b18168c82fe894e243bda9d64c557238
11,gpt-5.4-mini-2026-03-17,2,0,0,0,0,6ea699b57770998634d2cc2b66ecd9ed584d1175841f33b3f1687c5e1cae83ea,005e6326260ad3026a8a4ea9a0d49aeb155763fd40acba180fba252be09af440
12,gpt-5.4-mini-2026-03-17,0,0,0,0,0,88b7c2562c2c83489c16b058286a93fc3c9aed7e8e8d685f3f43677912365838,b2bd8d173186bfb4a8ab4dd724fc9e5117fb7e4900c189b08ca612aecc92d12b
13,gpt-5.4-mini-2026-03-17,0,0,0,0,0,20fce695a5a99fc4b63ebbe06f220ffbb2d1bd6abb79f6708bc63cd45bd09ddb,78cf611c3e5b40389962614be1e186cb39c8dc9126aeb39c5f4b7aa76519771b
15,gpt-5.4-mini-2026-03-17,0,0,0,0,0,c4db4f39fd9f72f97db94743d88213cddf0b6a94484d3bfa55984c7f0a6d8f45,1f23493ea6bec12ed9177807a7de3dd00478909193590e1c63e444287458aede
17,gpt-5.4-mini-2026-03-17,0,0,0,0,0,77b43fd82b1a86b25ec7f685a1dc308927c31d967c3c63c125944e08cee3a5f8,d06e6e2990969f6a19574902a473a55deef65c7afb7648ce0fcdfbf7ff508c00
18,gpt-5.4-mini-2026-03-17,0,0,0,0,0,bf0db255edf6ae8a34d12da418eca35cbb8021c1121dca6d731f39ef8bd534ae,4531131d5f0e05f172c9840c501f23e2c05bc2cecb53ca6eaaedac0de74e5e9d
19,gpt-5.4-mini-2026-03-17,2,0,0,0,0,14201f3724c344ae1cbc74c04d8ecf2da7d273a047505c0bfb6800d8ce6434e8,719a3df9744dd3fcbc442454739e1eeb592bb47d2f111c23a587c36fef074f57
