feature,quartile,difference,ci_low,ci_high,target_only_rate,target_only_wilson_low,target_only_wilson_high,full_context_rate,full_context_wilson_low,full_context_wilson_high,pairs,targets,conversations
log_prefix_words,1,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.03316134706694389,0.0,3.469446951953614e-18,0.03316134706694389,112,112,98
log_prefix_words,2,0.009009009009009009,0.0,0.028846153846153848,0.0,0.0,0.033450104693392366,0.009009009009009009,0.0015920854870672164,0.04927333263527303,111,111,87
log_prefix_words,3,0.009009009009009009,0.0,0.03,0.0,0.0,0.033450104693392366,0.009009009009009009,0.0015920854870672164,0.04927333263527303,111,111,70
log_prefix_words,4,0.036036036036036036,0.0,0.08536585365853659,0.0,0.0,0.033450104693392366,0.036036036036036036,0.014101302509231792,0.08901005589995212,111,111,46
delusion_density,1,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.03316134706694389,0.0,3.469446951953614e-18,0.03316134706694389,112,112,105
delusion_density,2,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,83
delusion_density,3,0.02702702702702703,0.0,0.05309734513274336,0.0,0.0,0.033450104693392366,0.02702702702702703,0.00923363849723221,0.07646240648300381,111,111,70
delusion_density,4,0.02702702702702703,0.0,0.09090909090909091,0.0,0.0,0.033450104693392366,0.02702702702702703,0.00923363849723221,0.07646240648300381,111,111,33
rapport_density,1,0.008968609865470852,0.0,0.027906976744186046,0.0,0.0,0.016934553501221274,0.008968609865470852,0.002462971839756231,0.03210504258520996,223,223,171
rapport_density,2,0.009009009009009009,0.0,0.028037383177570093,0.0,0.0,0.033450104693392366,0.009009009009009009,0.0015920854870672164,0.04927333263527303,111,111,62
rapport_density,3,0.02702702702702703,0.0,0.0727320075757575,0.0,0.0,0.033450104693392366,0.02702702702702703,0.00923363849723221,0.07646240648300381,111,111,41
self_disclosure_density,1,0.017857142857142856,0.0,0.05309734513274336,0.0,3.469446951953614e-18,0.03316134706694389,0.017857142857142856,0.004910811536248817,0.06278048742116135,112,112,102
self_disclosure_density,2,0.0,0.0,0.0,0.0,0.0,0.033450104693392366,0.0,0.0,0.033450104693392366,111,111,87
self_disclosure_density,3,0.018018018018018018,0.0,0.046981839715752045,0.0,0.0,0.033450104693392366,0.018018018018018018,0.0049551787085280775,0.06332555284276006,111,111,56
self_disclosure_density,4,0.018018018018018018,0.0,0.055944055944055944,0.0,0.0,0.033450104693392366,0.018018018018018018,0.0049551787085280775,0.06332555284276006,111,111,42
