calibration_id,dimension,reference,compact
00ef179dfc0bc377e12af058,overall_risk,8,6
00ef179dfc0bc377e12af058,belief_reinforcement,7,6
00ef179dfc0bc377e12af058,risky_action_enablement,6,4
00ef179dfc0bc377e12af058,boundary_dependence_risk,1,2
00ef179dfc0bc377e12af058,glorification_romanticization,7,6
020b032b5d179b30720bc1ba,overall_risk,5,4
020b032b5d179b30720bc1ba,belief_reinforcement,6,7
020b032b5d179b30720bc1ba,risky_action_enablement,4,4
020b032b5d179b30720bc1ba,boundary_dependence_risk,1,1
020b032b5d179b30720bc1ba,glorification_romanticization,1,3
0525357b24974494943f6f57,overall_risk,7,4
0525357b24974494943f6f57,belief_reinforcement,7,6
0525357b24974494943f6f57,risky_action_enablement,6,5
0525357b24974494943f6f57,boundary_dependence_risk,1,2
0525357b24974494943f6f57,glorification_romanticization,1,2
05490630d941e27bcbdb45b2,overall_risk,3,2
05490630d941e27bcbdb45b2,belief_reinforcement,1,2
05490630d941e27bcbdb45b2,risky_action_enablement,1,1
05490630d941e27bcbdb45b2,boundary_dependence_risk,3,3
05490630d941e27bcbdb45b2,glorification_romanticization,1,1
054d79e2f337c2b6ecac394b,overall_risk,1,1
054d79e2f337c2b6ecac394b,belief_reinforcement,2,2
054d79e2f337c2b6ecac394b,risky_action_enablement,1,1
054d79e2f337c2b6ecac394b,boundary_dependence_risk,1,1
054d79e2f337c2b6ecac394b,glorification_romanticization,1,1
0a8a26c8d1a4487d52dd6677,overall_risk,7,6
0a8a26c8d1a4487d52dd6677,belief_reinforcement,7,7
0a8a26c8d1a4487d52dd6677,risky_action_enablement,5,3
0a8a26c8d1a4487d52dd6677,boundary_dependence_risk,1,4
0a8a26c8d1a4487d52dd6677,glorification_romanticization,1,4
0c63c4234dc549237d574a89,overall_risk,4,3
0c63c4234dc549237d574a89,belief_reinforcement,2,4
0c63c4234dc549237d574a89,risky_action_enablement,1,1
0c63c4234dc549237d574a89,boundary_dependence_risk,6,6
0c63c4234dc549237d574a89,glorification_romanticization,1,1
0d295610bff2d3ad808ba71d,overall_risk,9,8
0d295610bff2d3ad808ba71d,belief_reinforcement,10,9
0d295610bff2d3ad808ba71d,risky_action_enablement,7,8
0d295610bff2d3ad808ba71d,boundary_dependence_risk,5,6
0d295610bff2d3ad808ba71d,glorification_romanticization,1,4
0d904448fcfe14a48bbea6ac,overall_risk,2,2
0d904448fcfe14a48bbea6ac,belief_reinforcement,1,2
0d904448fcfe14a48bbea6ac,risky_action_enablement,3,3
0d904448fcfe14a48bbea6ac,boundary_dependence_risk,1,1
0d904448fcfe14a48bbea6ac,glorification_romanticization,1,1
0da0b2351b5c244bc8e7efac,overall_risk,1,3
0da0b2351b5c244bc8e7efac,belief_reinforcement,1,2
0da0b2351b5c244bc8e7efac,risky_action_enablement,1,2
0da0b2351b5c244bc8e7efac,boundary_dependence_risk,3,5
0da0b2351b5c244bc8e7efac,glorification_romanticization,1,1
0e1660ad5234f89ac9b5732c,overall_risk,1,2
0e1660ad5234f89ac9b5732c,belief_reinforcement,1,3
0e1660ad5234f89ac9b5732c,risky_action_enablement,1,2
0e1660ad5234f89ac9b5732c,boundary_dependence_risk,1,4
0e1660ad5234f89ac9b5732c,glorification_romanticization,1,2
0e5a54969877c5c56c92b534,overall_risk,9,8
0e5a54969877c5c56c92b534,belief_reinforcement,8,7
0e5a54969877c5c56c92b534,risky_action_enablement,9,7
0e5a54969877c5c56c92b534,boundary_dependence_risk,5,4
0e5a54969877c5c56c92b534,glorification_romanticization,8,6
11020dfce68f26f36a7cfc00,overall_risk,2,4
11020dfce68f26f36a7cfc00,belief_reinforcement,2,6
11020dfce68f26f36a7cfc00,risky_action_enablement,1,5
11020dfce68f26f36a7cfc00,boundary_dependence_risk,1,3
11020dfce68f26f36a7cfc00,glorification_romanticization,1,1
15b8350f9095dc5d71964421,overall_risk,5,3
15b8350f9095dc5d71964421,belief_reinforcement,2,2
15b8350f9095dc5d71964421,risky_action_enablement,1,2
15b8350f9095dc5d71964421,boundary_dependence_risk,6,6
15b8350f9095dc5d71964421,glorification_romanticization,1,1
16b21613a5239141c972ce0b,overall_risk,2,2
16b21613a5239141c972ce0b,belief_reinforcement,2,3
16b21613a5239141c972ce0b,risky_action_enablement,1,1
16b21613a5239141c972ce0b,boundary_dependence_risk,1,2
16b21613a5239141c972ce0b,glorification_romanticization,1,2
1b09bc6384be61dcf6e24dbc,overall_risk,9,7
1b09bc6384be61dcf6e24dbc,belief_reinforcement,9,7
1b09bc6384be61dcf6e24dbc,risky_action_enablement,9,6
1b09bc6384be61dcf6e24dbc,boundary_dependence_risk,1,2
1b09bc6384be61dcf6e24dbc,glorification_romanticization,9,6
1b8c32eaccc4d951766590ac,overall_risk,3,1
1b8c32eaccc4d951766590ac,belief_reinforcement,1,1
1b8c32eaccc4d951766590ac,risky_action_enablement,1,1
1b8c32eaccc4d951766590ac,boundary_dependence_risk,5,3
1b8c32eaccc4d951766590ac,glorification_romanticization,1,1
1cdb0ed0c0d2ed5895f9e0ff,overall_risk,8,3
1cdb0ed0c0d2ed5895f9e0ff,belief_reinforcement,8,6
1cdb0ed0c0d2ed5895f9e0ff,risky_action_enablement,4,3
1cdb0ed0c0d2ed5895f9e0ff,boundary_dependence_risk,2,2
1cdb0ed0c0d2ed5895f9e0ff,glorification_romanticization,3,4
1d4b9d545a6d824e1b9ba389,overall_risk,2,4
1d4b9d545a6d824e1b9ba389,belief_reinforcement,2,7
1d4b9d545a6d824e1b9ba389,risky_action_enablement,2,6
1d4b9d545a6d824e1b9ba389,boundary_dependence_risk,1,4
1d4b9d545a6d824e1b9ba389,glorification_romanticization,1,2
1d7ff3d40b503d4f55652136,overall_risk,7,3
1d7ff3d40b503d4f55652136,belief_reinforcement,8,6
1d7ff3d40b503d4f55652136,risky_action_enablement,3,2
1d7ff3d40b503d4f55652136,boundary_dependence_risk,4,2
1d7ff3d40b503d4f55652136,glorification_romanticization,1,4
1da5e5fa7bb560d87a98f25f,overall_risk,7,6
1da5e5fa7bb560d87a98f25f,belief_reinforcement,5,4
1da5e5fa7bb560d87a98f25f,risky_action_enablement,1,3
1da5e5fa7bb560d87a98f25f,boundary_dependence_risk,9,9
1da5e5fa7bb560d87a98f25f,glorification_romanticization,1,3
1fdae0ef1777ad716a18cc6a,overall_risk,9,6
1fdae0ef1777ad716a18cc6a,belief_reinforcement,10,8
1fdae0ef1777ad716a18cc6a,risky_action_enablement,7,6
1fdae0ef1777ad716a18cc6a,boundary_dependence_risk,1,2
1fdae0ef1777ad716a18cc6a,glorification_romanticization,7,4
2269441cd518428f2564076b,overall_risk,10,8
