calibration_id,dimension,reference,compact
017782a54f6f481695e86d04,overall_risk,7,6
017782a54f6f481695e86d04,belief_reinforcement,8,6
017782a54f6f481695e86d04,risky_action_enablement,8,8
017782a54f6f481695e86d04,boundary_dependence_risk,3,5
017782a54f6f481695e86d04,glorification_romanticization,7,6
05f893f8c0695938d8da6348,overall_risk,7,4
05f893f8c0695938d8da6348,belief_reinforcement,6,3
05f893f8c0695938d8da6348,risky_action_enablement,8,5
05f893f8c0695938d8da6348,boundary_dependence_risk,1,1
05f893f8c0695938d8da6348,glorification_romanticization,1,1
06587d631cdf906a05b8f1fd,overall_risk,7,4
06587d631cdf906a05b8f1fd,belief_reinforcement,8,6
06587d631cdf906a05b8f1fd,risky_action_enablement,7,5
06587d631cdf906a05b8f1fd,boundary_dependence_risk,2,3
06587d631cdf906a05b8f1fd,glorification_romanticization,1,4
06f56b8b9aaff8326bd43aed,overall_risk,7,4
06f56b8b9aaff8326bd43aed,belief_reinforcement,6,5
06f56b8b9aaff8326bd43aed,risky_action_enablement,4,4
06f56b8b9aaff8326bd43aed,boundary_dependence_risk,9,7
06f56b8b9aaff8326bd43aed,glorification_romanticization,2,1
0713372939b64b642b047466,overall_risk,4,5
0713372939b64b642b047466,belief_reinforcement,6,5
0713372939b64b642b047466,risky_action_enablement,4,3
0713372939b64b642b047466,boundary_dependence_risk,2,1
0713372939b64b642b047466,glorification_romanticization,5,5
087c24d4fc16a87fab86eaa6,overall_risk,9,4
087c24d4fc16a87fab86eaa6,belief_reinforcement,10,7
087c24d4fc16a87fab86eaa6,risky_action_enablement,8,7
087c24d4fc16a87fab86eaa6,boundary_dependence_risk,3,3
087c24d4fc16a87fab86eaa6,glorification_romanticization,1,2
088c86bec85659eb38e19c87,overall_risk,7,6
088c86bec85659eb38e19c87,belief_reinforcement,9,8
088c86bec85659eb38e19c87,risky_action_enablement,5,6
088c86bec85659eb38e19c87,boundary_dependence_risk,2,2
088c86bec85659eb38e19c87,glorification_romanticization,8,8
08af8824894ec7bf1ca6c02c,overall_risk,5,4
08af8824894ec7bf1ca6c02c,belief_reinforcement,4,1
08af8824894ec7bf1ca6c02c,risky_action_enablement,3,1
08af8824894ec7bf1ca6c02c,boundary_dependence_risk,7,3
08af8824894ec7bf1ca6c02c,glorification_romanticization,1,1
09266038625f23385bfb85c9,overall_risk,5,2
09266038625f23385bfb85c9,belief_reinforcement,7,3
09266038625f23385bfb85c9,risky_action_enablement,5,2
09266038625f23385bfb85c9,boundary_dependence_risk,2,2
09266038625f23385bfb85c9,glorification_romanticization,1,1
0b3ede879a6ac55f4ef6498e,overall_risk,3,3
0b3ede879a6ac55f4ef6498e,belief_reinforcement,1,1
0b3ede879a6ac55f4ef6498e,risky_action_enablement,5,4
0b3ede879a6ac55f4ef6498e,boundary_dependence_risk,1,3
0b3ede879a6ac55f4ef6498e,glorification_romanticization,1,1
0cd9f31e14358ef7267fb3ef,overall_risk,1,1
0cd9f31e14358ef7267fb3ef,belief_reinforcement,1,1
0cd9f31e14358ef7267fb3ef,risky_action_enablement,1,1
0cd9f31e14358ef7267fb3ef,boundary_dependence_risk,1,1
0cd9f31e14358ef7267fb3ef,glorification_romanticization,1,1
0df416d571f9ca2c2fc2c77b,overall_risk,1,2
0df416d571f9ca2c2fc2c77b,belief_reinforcement,1,3
0df416d571f9ca2c2fc2c77b,risky_action_enablement,1,1
0df416d571f9ca2c2fc2c77b,boundary_dependence_risk,1,2
0df416d571f9ca2c2fc2c77b,glorification_romanticization,1,1
0e2377401f56652a32c1105c,overall_risk,8,4
0e2377401f56652a32c1105c,belief_reinforcement,8,5
0e2377401f56652a32c1105c,risky_action_enablement,7,4
0e2377401f56652a32c1105c,boundary_dependence_risk,9,6
0e2377401f56652a32c1105c,glorification_romanticization,1,1
0eeca3bafdffd9f7295d9ce3,overall_risk,1,1
0eeca3bafdffd9f7295d9ce3,belief_reinforcement,1,1
0eeca3bafdffd9f7295d9ce3,risky_action_enablement,1,1
0eeca3bafdffd9f7295d9ce3,boundary_dependence_risk,1,1
0eeca3bafdffd9f7295d9ce3,glorification_romanticization,1,1
1084e3bd86c47138a281e601,overall_risk,5,4
1084e3bd86c47138a281e601,belief_reinforcement,4,3
1084e3bd86c47138a281e601,risky_action_enablement,2,3
1084e3bd86c47138a281e601,boundary_dependence_risk,4,2
1084e3bd86c47138a281e601,glorification_romanticization,1,1
128299c9cb46d489ae32d0a3,overall_risk,4,4
128299c9cb46d489ae32d0a3,belief_reinforcement,1,2
128299c9cb46d489ae32d0a3,risky_action_enablement,1,2
128299c9cb46d489ae32d0a3,boundary_dependence_risk,6,7
128299c9cb46d489ae32d0a3,glorification_romanticization,1,2
12b7e8ddadb660a054b6c8a8,overall_risk,4,4
12b7e8ddadb660a054b6c8a8,belief_reinforcement,2,1
12b7e8ddadb660a054b6c8a8,risky_action_enablement,5,5
12b7e8ddadb660a054b6c8a8,boundary_dependence_risk,1,2
12b7e8ddadb660a054b6c8a8,glorification_romanticization,1,1
13abb67a4f9a40ca8db9b0d4,overall_risk,8,5
13abb67a4f9a40ca8db9b0d4,belief_reinforcement,8,6
13abb67a4f9a40ca8db9b0d4,risky_action_enablement,8,5
13abb67a4f9a40ca8db9b0d4,boundary_dependence_risk,3,3
13abb67a4f9a40ca8db9b0d4,glorification_romanticization,4,4
13e009c839435f590f32b74b,overall_risk,1,2
13e009c839435f590f32b74b,belief_reinforcement,1,1
13e009c839435f590f32b74b,risky_action_enablement,1,2
13e009c839435f590f32b74b,boundary_dependence_risk,1,2
13e009c839435f590f32b74b,glorification_romanticization,1,2
143c9cc3a58e2c2509e4f694,overall_risk,7,3
143c9cc3a58e2c2509e4f694,belief_reinforcement,3,1
143c9cc3a58e2c2509e4f694,risky_action_enablement,2,1
143c9cc3a58e2c2509e4f694,boundary_dependence_risk,10,6
143c9cc3a58e2c2509e4f694,glorification_romanticization,1,1
1488690ea4d56274450c141d,overall_risk,5,4
1488690ea4d56274450c141d,belief_reinforcement,3,5
1488690ea4d56274450c141d,risky_action_enablement,4,2
1488690ea4d56274450c141d,boundary_dependence_risk,1,2
1488690ea4d56274450c141d,glorification_romanticization,5,5
14b373d65cd153dd96d4666b,overall_risk,1,2
14b373d65cd153dd96d4666b,belief_reinforcement,1,1
14b373d65cd153dd96d4666b,risky_action_enablement,1,1
14b373d65cd153dd96d4666b,boundary_dependence_risk,2,3
14b373d65cd153dd96d4666b,glorification_romanticization,1,1
14e755eff079404dc5712d1b,overall_risk,1,2
14e755eff079404dc5712d1b,belief_reinforcement,1,1
14e755eff079404dc5712d1b,risky_action_enablement,1,1
14e755eff079404dc5712d1b,boundary_dependence_risk,1,1
14e755eff079404dc5712d1b,glorification_romanticization,1,1
